team,group_win_pct,reach_r32_pct,reach_r16_pct,reach_qf_pct,reach_sf_pct,reach_final_pct,win_champion_pct
Saudi Arabia,13.63,47.65,17.23,5.62,1.71,0.54,0.14
South Africa,0.0,28.36,9.83,2.94,0.82,0.21,0.04
Bosnia and Herzegovina,0.0,32.02,6.32,1.25,0.21,0.04,0.0
France,43.26,97.28,64.34,40.47,24.59,14.48,8.33
Brazil,26.12,78.34,45.84,25.62,13.67,7.22,3.61
Qatar,0.0,42.92,10.79,2.55,0.5,0.12,0.03
Senegal,3.38,56.91,30.73,15.78,7.82,3.76,1.66
Algeria,3.35,60.88,33.34,16.97,8.34,4.25,1.87
Jordan,0.56,14.86,5.43,2.06,0.63,0.14,0.06
Canada,72.89,100.0,50.03,23.41,10.18,4.38,1.7
Japan,43.76,91.18,55.84,32.49,18.2,9.66,4.87
Spain,52.14,87.68,61.49,41.66,27.83,17.78,11.22
Uzbekistan,4.42,34.55,15.26,6.75,2.46,0.91,0.26
Ghana,11.79,82.78,25.19,6.91,1.89,0.54,0.12
Argentina,77.57,99.75,71.65,49.49,33.76,22.0,14.3
Ivory Coast,46.29,96.93,48.98,23.76,11.2,4.74,1.98
Morocco,50.8,92.72,59.52,36.4,21.72,12.37,6.63
Norway,52.74,98.02,49.91,24.44,11.46,4.89,2.07
Switzerland,27.11,100.0,48.56,22.15,9.37,3.91,1.28
Ecuador,1.22,44.89,19.69,8.13,3.38,1.43,0.52
Australia,54.23,99.26,53.45,27.17,13.48,6.0,2.63
Panama,1.43,30.18,12.83,5.01,1.95,0.79,0.27
Scotland,18.36,74.96,26.17,8.66,2.53,0.71,0.19
Iraq,0.62,17.42,6.21,2.09,0.72,0.23,0.05
Portugal,31.85,78.58,44.67,24.27,12.64,6.27,3.0
Sweden,24.53,88.97,31.22,9.78,2.75,0.71,0.26
DR Congo,13.27,63.7,25.29,9.56,3.56,1.24,0.44
Colombia,50.46,94.2,54.33,29.88,16.24,8.09,4.02
South Korea,6.23,85.89,44.07,21.49,9.61,3.96,1.68
Turkey,2.42,52.31,21.73,8.36,3.4,1.22,0.46
Iran,28.4,68.47,37.84,19.46,9.96,4.53,2.01
Uruguay,19.29,59.27,26.72,11.77,4.78,2.05,0.7
Mexico,93.77,100.0,59.25,33.34,17.45,9.05,4.76
Cape Verde,14.94,64.33,21.0,6.23,1.79,0.39,0.1
Haiti,4.72,30.77,11.75,4.48,1.5,0.4,0.07
Egypt,19.51,63.84,30.48,13.23,5.78,2.22,0.87
Germany,51.71,99.3,55.5,29.55,14.55,6.99,3.02
Netherlands,28.96,83.26,46.71,24.49,12.21,5.98,2.77
England,83.55,99.42,64.08,39.98,23.39,13.41,7.46
Belgium,32.34,73.54,38.29,18.46,8.17,3.61,1.65
Austria,18.52,93.53,43.95,19.5,7.97,3.03,1.03
Tunisia,2.75,17.54,6.03,1.88,0.71,0.23,0.05
United States,43.09,98.2,44.81,19.94,7.55,2.97,1.07
New Zealand,19.75,59.4,20.39,6.34,1.85,0.66,0.18
Curaçao,0.78,20.11,5.81,1.83,0.39,0.1,0.03
Czech Republic,0.0,25.97,8.11,2.4,0.74,0.22,0.06
Croatia,3.23,55.71,25.23,10.83,4.36,1.5,0.47
Paraguay,0.26,14.15,4.11,1.17,0.23,0.07,0.01
